Year,Total,Education,Welfare,Health,Highways,Corrections,Other
1982,790.7,262.6,-,56.4,64.1,15,392.6
1983,814.6,262.9,-,57.5,64.5,16.5,413.8
1984,820.8,271.3,-,58.4,67.4,18.1,405.7
1985,879.4,289.4,-,62.1,74.6,20.6,432.7
1986,927.2,306.4,-,65.9,80.1,23.5,451.3
1987,956.1,314.5,-,67.4,80.3,24.6,469.3
1988,986.2,324.5,-,71,82.8,27.1,480.8
1989,1032.6,340.6,-,75.9,84,29.5,503
1990,1075.5,347.5,-,80.2,83.2,32.4,532.2
1991,1146.1,358.4,-,83.6,85.7,35.1,583.3
1992,1251.7,377,-,88.5,87.3,35.8,663.1
1993,1294.4,385.8,-,92.8,89.4,36.2,690.2
1994,1314.1,390.5,-,95.9,90.6,39.2,697.9
1995,1381.9,411.8,321.7,99.1,94.7,43,411.6
1996,1389.2,425.9,316.3,100.3,94.2,44.2,408.4
1997,1417.9,437.3,322.2,100.2,95.5,46.1,416.6
1998,1453.4,460.8,325,100,99.4,47.8,420.4
1999,1506.7,480.8,333.8,102.6,103.1,49.6,436.8
2000,1567.7,501,345.5,107.9,107.6,50.8,454.9
2001,1664.1,525.3,368.6,109.8,110.5,53.5,496.4
2002,1762.7,535.1,396.5,121,115.5,53.4,541.2
2003,1792.7,542.3,414.7,116.9,113.1,51.7,554
2004,1781.6,545.3,431.6,114.9,107.7,49.7,532.4
2005,1755.7,542,439.9,109.8,108.6,48.4,507
2006,1757.9,546,426.8,108.7,112.8,48.4,515.2
2007,1756,551.9,421.7,114.1,110.8,49.9,507.6
2008,1764.2,555.9,417.9,116.5,109.1,50.6,514.1
2009,1864.2,578.7,447.3,121.7,109.3,51.4,555.8
2010,1942.8,571.3,462.7,123.6,110.8,48.5,626.4